,World Population,Built-up Area (HYDE (2017)),Grazing (HYDE (2017)),Cropland (HYDE (2017)),All fertilizers used,Arable land needed to produce a fixed quantity of crops,Build-up area per Capita,Grazing per Capita,Cropland per Capita,Humans Density/km2,Fertilizer used per Capita[t]
World Population,1.0,0.9948069511458653,0.5591172955528018,0.9143522087492592,0.9072342697926357,-0.9968042196685982,0.9564656685360037,-0.9961901974472694,-0.9801227217878999,1.0000000000000002,-0.5708591464126184
Built-up Area (HYDE (2017)),0.9948069511458653,1.0,0.47478582697352184,0.9252969423135359,0.9444243091339686,-0.9814249184758206,0.9808897593997236,-0.9823444621097702,-0.9557072529916688,0.9948069511458651,-0.19463004207513082
Grazing (HYDE (2017)),0.5591172955528018,0.47478582697352184,1.0,0.43062865857684,0.2795411916952217,-0.6159696491557204,0.2979262206748291,-0.621261856841766,-0.6948623309469547,0.5591172955528021,-0.7643874101974366
Cropland (HYDE (2017)),0.9143522087492592,0.9252969423135359,0.43062865857684,1.0,0.9327663401688688,-0.8871691040674515,0.9058136166959122,-0.8944939662918168,-0.8457141637123414,0.9143522087492589,-0.030318431714490852
All fertilizers used,0.9072342697926357,0.9444243091339686,0.2795411916952217,0.9327663401688688,1.0,-0.8946363085656395,0.9579365902317819,-0.8915674232595594,-0.8380021141086295,0.9072342697926359,-0.17402755215035953
Arable land needed to produce a fixed quantity of crops,-0.9968042196685982,-0.9814249184758206,-0.6159696491557204,-0.8871691040674515,-0.8946363085656395,1.0,-0.9290134423598121,0.9987776236451903,0.9921919429671747,-0.9968042196685982,0.5858640887964208
Build-up area per Capita,0.9564656685360037,0.9808897593997236,0.2979262206748291,0.9058136166959122,0.9579365902317819,-0.9290134423598121,1.0,-0.9287316582040894,-0.8846268708808841,0.9564656685360033,-0.05643596124507721
Grazing per Capita,-0.9961901974472694,-0.9823444621097702,-0.621261856841766,-0.8944939662918168,-0.8915674232595594,0.9987776236451903,-0.9287316582040894,1.0,0.9929675319038617,-0.9961901974472694,0.33362349879561837
Cropland per Capita,-0.9801227217878999,-0.9557072529916688,-0.6948623309469547,-0.8457141637123414,-0.8380021141086295,0.9921919429671747,-0.8846268708808841,0.9929675319038617,1.0,-0.9801227217878998,0.4271021801477017
Humans Density/km2,1.0000000000000002,0.9948069511458651,0.5591172955528021,0.9143522087492589,0.9072342697926359,-0.9968042196685982,0.9564656685360033,-0.9961901974472694,-0.9801227217878998,1.0,-0.5708591464126184
Fertilizer used per Capita[t],-0.5708591464126184,-0.19463004207513082,-0.7643874101974366,-0.030318431714490852,-0.17402755215035953,0.5858640887964208,-0.05643596124507721,0.33362349879561837,0.4271021801477017,-0.5708591464126184,1.0
